cas_number,chemical_name,formula,ip_ev,pel_ppm,rel,tlv_ppm,stel_ppm,idlh_ppm,aegl_1,aegl_2,aegl_3,conversion,notes,include
106-42-3,Xylene: p-Xylene,,8.44,100 ppm (435 mg/m³),100 ppm (ST) 150 ppm,100 ppm (ST) 150 ppm,,900 ppm,130 ppm 560 mg/m³ (AEGL-1),"920 ppm 4,000 mg/m³ (AEGL-2)","2,500(1) ppm 11,000 mg/m³ (AEGL-3)",1 ppm = 4.41 mg/m³,,
1314-13-2,Zinc (Zinc Oxide),,NA,Total dust: 15 mg/m³ Respirable dust: 5 mg/m³ Fume: 5 mg/m³,Dust: 5 mg/m³ 15 mg/m³ (C) Fume: 5 mg/m³ 10 mg/m³ (ST),Respirable fraction: 2 mg/m³ 10 mg/m³ (ST),,500 mg/m³,10 mg/m³ (TLV-STEL),15 mg/m³ (REL-C),"2,500 mg/m³ (IDLH 1990)",NA,,
LOCAL-Particulate,Particulate,,NA,"15 mg/m³ (total dust), 5 mg/m³ (respirable fraction)",NA,10 mg/m³ (total dust),,NA,NA,NA,NA,NA,,
LOCAL-Radiation,Radiation,,NA,"Normal gamma radiation background is from 5-20 uR/hr; however, higher backgrounds may exist. If readings are 3 times background or greater than 60-100 uR/hr or greater than 300 cpm, then stop work and consult with a Health Physicist.",,,,NA,NA,NA,NA,NA,,
141-78-6,Ethyl Acetate,,10.01,400 ppm,400 ppm,,,2000 ppm (10% LEL),,,,1 ppm = 3.6 mg/m3,,No
115-11-7,Isobutylene,,,,,,,,,,,,,No
67-63-0,Isopropanol (IPA),,,,,,,,,,,,,No
LOCAL-Leaded-Gasoline,Leaded Gasoline,,,,,,,,,,,,,No
142-82-5,n-Heptane,,,,,,,,,,,,,No
110-54-3,n-Hexane,,,,,,,,,,,,,No
111-65-9,n-Octane,,,,,,,,,,,,,No
109-66-0,n-Pentane,,,,,,,,,,,,,No
115-07-1,Propene (Propylene),,,,,,,,,,,,,No
8006-64-2,Turpentine,,,,,,,,,,,,,No
124-38-9,Carbon Dioxide,,,,,,,,,,,,,No
LOCAL-Alcohols,Alcohols,,,,,,,,,,,,,No
LOCAL-Hydrocarbons,Hydrocarbons,,,,,,,,,,,,,No
74-85-1,Ethylene,,,,,,,,,,,,,No
75-21-8,Ethylene Oxide,,,,,,,,,,,,,No
7727-37-9,Nitrogen,,,,,,,,,,,,,No
7646-79-9,Cobalt Chloride,COCl2,,,,,,,,,,,,No
7726-95-6,Bromine,,,,,,,,,,,,,No
107-44-8,Sarin (GB),,,,,,,,,,,,,No
19287-45-7,Diborane,,,,,,,,,,,,,No
7803-62-5,Silane,,,,,,,,,,,,,No
7782-65-2,Germane,,,,,,,,,,,,,No
7783-07-5,Hydrogen Selenide,,,,,,,,,,,,,No
7637-07-2,Boron Trifluoride,,,,,,,,,,,,,No
7782-41-4,Fluorine,,,,,,,,,,,,,No
10049-04-4,Chlorine Dioxide,,,,,,,,,,,,,No
LOCAL-Incomplete,Incomplete,,,,,,,,,,,,,No
10028-15-6,Ozone,,,,,,,,,,,,,No
LOCAL-Radiation-Alpha,Radiation: Alpha,,,"Normal gamma radiation background is from 5-20 uR/hr; however, higher backgrounds may exist. If readings are 3 times background or greater than 60-100 uR/hr or greater than 300 cpm, then stop work and consult with a Health Physicist.",,,,,,,,,,
LOCAL-Radiation-Beta,Radiation: Beta,,,"Normal gamma radiation background is from 5-20 uR/hr; however, higher backgrounds may exist. If readings are 3 times background or greater than 60-100 uR/hr or greater than 300 cpm, then stop work and consult with a Health Physicist.",,,,,,,,,,
LOCAL-Radiation-Gamma,Radiation: Gamma,,,"Normal gamma radiation background is from 5-20 uR/hr; however, higher backgrounds may exist. If readings are 3 times background or greater than 60-100 uR/hr or greater than 300 cpm, then stop work and consult with a Health Physicist.",,,,,,,,,,
