Contaminant,Analytical Method,Matrix,Sampling Media,Holding Times,Flow Rate,Sample Volume,
,NIOSH Method 5506,Air,"XAD-2 Sorbent Tube (SKC part # 226-30-04) with PTFE filter, 2.0-µm pore size, in 37-mm cassette
(SKC part # 225-1713)","unknown;
wrap sample in foil to protect from heat and UV light",2 L/min,200-1000 L,
,EPA Method 8270D or 8310,Soil/Waste,8-oz. glass jar,14 days @ 6 °C,NA,NA,
,EPA Method 8270D or 8310,Water,1-L amber glass jar,7 days @ 6 °C,NA,NA,
PCBs,NIOSH Method 5503,Air,"Glass Fiber Filter, SKC part # 225-16
Filter Cassette Holder, SKC part # 225-32
Florisil Sorbent Tube, SKC part # 226-39","Unspecified for filters, although Eurofins Air Toxics uses 7 days;
2 months for Florisil tubes; all media stored @ 4 °C and wrapped in foil to protect from UV light",0.05-0.2 L/min,1-50 L @ 0.5 mg/m3,
,EPA Method 8082A,Soil/Waste,8-oz. glass jar,14 days @ 6 °C,NA,NA,
,EPA Method 8082A,Water,1-L amber glass jar,7 days @ 6 °C,NA,NA,
PCBs and Pesticides,EPA Method TO-10A,Air,"Low Volume PUF Cartridge,
SKC part # 226-92",7 days @ <4 °C; wrap in foil to protect from UV light,1-5 L/min for 4-24 hours,Determined by user (as needed to achieve the project's RLs).,
,EPA Method TO-4A,Air,PUF Sorbent Tube (SKC part # 226-131) with quartz fiber filter                                                                                                                                                                                                                                                                                                                                                                                                                                                          (SKC part # 225-1808),7 days @ <4 °C; wrap in foil to protect from UV light,0.225 m3/min for up to 24 hours,"At least 300 m3 over a 24 hour period, or determined by user (as needed to achieve the project's RLs).",
"PCDDs and PCDFs
(Dioxins & Furans)",EPA Method TO-9A,Air,PUF Sorbent Tube (SKC part # 226-131) with quartz fiber filter                                                                                                                                                                                                                                                                                                                                                                                                                                                          (SKC part # 225-1808),7 days @ <4 °C; wrap in foil to protect from UV light,0.225 m3/min for up to 24 hours,"At least 325 m3 over a 24 hour period, determined by user (as needed to achieve the project's RLs)",
Petroleum Hydrocarbons,"NIOSH Method 1500 (Hydrocarbons, BP 36°-216 °C)",Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  SKC part # 226-01",30 days @ 5 °C,Check Table 3 in Method for analyte specific flow rate and sample volume.,,
pH,EPA Method 9045D,Soil/Waste,8-oz. glass jar,Store @ 6 °C; analyze sample ASAP,NA,NA,
,EPA Method 9040C,Water,250-mL poly,Store @ 6 °C; analyze sample ASAP,NA,NA,
Phosgene,OSHA Method 61,Air,"XAD-2 Sorbent Tube, SKC part # 226-117",at least 19 days @ 23 °C,1 L/min,240 L,
Phosphine,NIOSH Method 6002,Air,"Mercuric Cyanide Treated Silica Gel Sorbent Tube, SKC part # 226-165A",7 days @ 25 ⁰C,0.01-0.2 L/min,1-16 L @ 0.3 ppm,
Phosphoric acid,OSHA Method ID 111,Air,"Cassette (SKC part # 225-3-01) containing one MCE filter (37 mm, 0.8-μm pore size)",not determined,2 L/min,960 L,
"Phosphorus (elemental, vapor phase only)",NIOSH Method 7905,Air,"Tenax Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SKC part # 226-35-03
(add MCE filter to exclude particulate phosphorus if expected in sample)",7 days @ 25 ⁰C,0.01-0.2 L/min,5-100 L @ 0.1 mg/m3,
Silica,NIOSH Method 7500 ,Air,"disposable parallel particle impactor, preloaded with impaction substrates
(SKC part # 225-3851)",Stable,2 L/min,400-1000 L,
Sulfur Dioxide,NIOSH Method 6004,Air,Cassette (SKC part # 225-9005) containing one MCE pre-filter and one Na2CO3-coated cellulose filter,Not determined,0.5-1.5 L/min,4-200 L @ 5 ppm,
SVOCs,EPA Method 8270C,Soil/Waste,8-oz. glass jar,14 days @ 6 °C,NA,NA,
,EPA Method 8270C,Water,1-L amber glass jar,7 days @ 6 °C,NA,NA,
TCLP Metals,EPA Methods 1311/6010B/7471A (mercury),Soil/Waste,8-oz. glass jar,"6 months
(except mercury 28 days @
6 °C)",NA,NA,
Tetrachloroethylene (PCE),"NIOSH Method 1003
(Halogenated Hydrocarbons)",Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 SKC part # 226-01",at least 30 days @ ambient temperatures,0.01-0.2 L/min,"1.0-40 L @ 100 ppm;
target is 3 L",
Total Metals (mercury) ,EPA Methods 6010B/7471A (mercury),Soil/Waste,8-oz. glass jar,"6 months
(except mercury 28 days @ 6 °C)",NA,NA,
,EPA Methods 6010B/7470A (mercury),Water,500-mL poly preserved with HNO3,"6 months
(except mercury 28 days)",NA,NA,
"Total or Select Metals (except Mercury), including as particulates",NIOSH Method 7300,Air,"Cassette (SKC part # 225-3-01) containing one MCE filter (37 mm, 0.8-μm pore size)",Stable,1-4 L/min,Check Table 1 in Method for analyte specific sampling volume.,
Total Phosphorus,SM 4500-P B/E (M),Soil/Waste,8-oz. glass jar,28 days @ 6 °C,NA,NA,
,SM 4500-P B/E,Water,8 oz. glass jar preserved with H2SO4,28 days @ 6 °C,NA,NA,
TPH as DRO and MRO,EPA Method 8015B,Soil/Waste,8-oz. glass jar,14 days @ 6 °C,NA,NA,
,EPA Method 8015B,Water,1-L amber glass jar,7 days @ 6 °C,NA,NA,
TPH as GRO,EPA Method 8015B or 8260B,Soil/Waste,"EnCore, TerraCore, or similar",48 hours @ 6 °C,NA,NA,
,EPA Method 8015B or 8260B,Water,40-mL VOA preserved with HCl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   (no headspace),14 days @ 6 °C,NA,NA,
Trichloroethylene (TCE),NIOSH Method 1022,Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  SKC part # 226-01",Not determined,0.01-0.2 L/min,1-30 L @ 100 ppm,
Vinyl Chloride,NIOSH Method 1007,Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  SKC part # 226-01",10 days @ 25 °C,0.05 L/min,0.7-5 L,
VOCs,EPA Method TO-15,Air,Summa Canister,30 days @ ambient temperatures,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",,
,EPA Method 8260B,Soil/Waste,"Encore, TerraCore, or similar",48 hours @ 6 °C if not preserved; 14 days @ 6 °C if preserved with methanol,NA,NA,
,EPA Method 8260B,Water,40-mL VOA preserved with HCl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 (no headspace),14 days @ 6 °C,NA,NA,
"VOCs
(Aromatic Hydrocarbons)",NIOSH Method 1501,Air,"Anasorb CSC Sorbent Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   SKC part # 226-01",30 days @ 5 °C,0.01-1.0 L/min,1-30 L depending on the contaminant; see Table 3 in Method for specific sample flow rates and volumes.,
"Volatile acids
(HCl, HBr, HNO3) ",NIOSH Method 7907,Air,"37-mm quartz fiber filter coated with Na2CO3; and 37-mm quartz fiber pre-filter, SKC part # 225-9032",at least 7 days @ 20 °C; or 28 days at 4 °C,2 L/min,30-600 L,
,,,,,,,
Note: Data in tables are from the following sources,,,,,,,
EPA Test Method Collections,, https://www.epa.gov/measurements-modeling/collection-methods,,,,,
EPA Compendium of Methods for the Determination of Toxic Organic Compounds in Ambient Air,, https://www.epa.gov/amtic/compendium-methods-determination-toxic-organic-compounds-ambient-air,,,,,
CDC - NIOSH Manual of Analytical Methods,, http://www.cdc.gov/niosh/docs/2003-154/method-2000.html,,,,,
"SKC, Inc. website (Air Sampling Media Part No. is specific to SKC)",, http://www.skcinc.com,,,,,
OSHA Sampling and Analytical Methods,, http://www.osha.gov/dts/sltc/methods,,,,,
National Environmental Methods Index,, https://www.nemi.gov,,,,,
,,,,,,,
,,,,,,,
Abbreviations,,,,,,,
°C ,Degrees Centigrade,MRO ,Motor Oil Range Organics,,,,
µL ,Microliter,N ,Normal,,,,
µm ,Micrometer,NA ,Not Applicable/Available,,,,
AsH3 ,Arsine,Na2CO3 ,Sodium carbonate,,,,
As2O3 ,Arsenic trioxide,NaOH ,Sodium hydroxide,,,,
ASAP ,As Soon As Possible,NIOSH ,National Institute for Occupational Safety and Health,,,,
CDC ,Centers for Disease Control and Prevention,NO ,Nitric oxide,,,,
CSC ,Coconut Shell Charcoal,NO2 ,Nitrogen dioxide,,,,
DRO ,Diesel Range Organics,OSHA ,Occupational Safety and Health Administration,,,,
EPA ,U.S. Environmental Protection Agency,oz. ,ounce,,,,
GRO ,Gasoline Range Organics,PAHs ,Polycyclic (Polynuclear) Aromatic Hydrocarbons,,,,
H2SO4 ,Sulfuric acid,PCBs ,Polychlorinated Biphenyls,,,,
H3PO4 ,Phosphoric acid,PCDDs ,Polychlorinated Dibenzodioxins,,,,
HBr ,Hydrobromic acid,PCDFs ,Polychlorinated Dibenzofurans,,,,
